Key,Name,Concepts,YoutubeCode,Download
csp_pixelation_color_1,,,763E3_Z6Hng,http://videos.letron.vip/2015/csp/pixelation_color_1.mp4
csp_pixelation_color_2,,,xK9z51Tin4E,http://videos.letron.vip/2015/csp/pixelation_color_2.mp4
csp_pixelation_color_3,,,Xhqz3ffGm74,http://videos.letron.vip/2015/csp/pixelation_color_3.mp4
csp_pixelation_bw,,,rJOa5Q5a1WM,http://videos.letron.vip/2015/csp/pixelation_bw.mp4
csp_U1L14_tipstricks,,,yWrmxQSnmPc,http://videos.letron.vip/2015/csp/U1L14_tipstricks.mp4
csp_textcompression,,,g0IDJjdBKw4,http://videos.letron.vip/2015/csp/textcompression.mp4
csp_textcompression_new,,,LCGkcn1f-ms,http://videos.letron.vip/2015/csp/textcompression_blacc.mp4
csp_internetsimulator_1,,,Kn6Fd5uwZno,http://videos.letron.vip/2015/csp/internetsimulator_1.mp4
csp_internetsimulator_2,,,cIk2R0QuXkI,http://videos.letron.vip/2015/csp/internetsimulator_2.mp4
csp_internetsimulator_3,,,x_YTEBRnR1U,http://videos.letron.vip/2015/csp/internetsimulator_3.mp4
alg_1_intro,,,SlLr2rj4eBo,http://videos.letron.vip/2015/algebra/alg-1-intro.mp4
alg_2_eval_block,,,UU58FyCUin4,http://videos.letron.vip/2015/algebra/alg-2-eval-block.mp4
alg_3_pemdas,,,ycgedpCoIr4,http://videos.letron.vip/2015/algebra/alg-3-pemdas.mp4
alg_4_data_types,,,GD5ZrNcGeD0,http://videos.letron.vip/2015/algebra/alg-4-data-types.mp4
alg_5_contracts,,,X8L259cdfns,http://videos.letron.vip/2015/algebra/alg-5-contracts.mp4
alg_6_variables,,,oyxs4zKEdvU,http://videos.letron.vip/2015/algebra/alg-6-variables.mp4
alg_7_function,,,wBh7dOcw02M,http://videos.letron.vip/2015/algebra/alg-7-function.mp4
alg_8_design_recipe,,,0iybPiGep4w,http://videos.letron.vip/2015/algebra/alg-8-design-recipe.mp4
alg_9_booleans,,,jIAaneZSSkY,http://videos.letron.vip/2015/algebra/alg-9-booleans.mp4
alg_10_conditionals,,,zloUEeHfvlI,http://videos.letron.vip/2015/algebra/alg-10-conditionals.mp4
alg_11_coordinate_plane,,,VlJq9mAXx1c,http://videos.letron.vip/2015/algebra/alg-11-coordinate-plane.mp4
alg_12_biggame_variables,,,gfzRVChNDcI,http://videos.letron.vip/2015/algebra/alg-12-biggame-variables.mp4
alg_13_biggame_animation,,,fCLLlwcluy4,http://videos.letron.vip/2015/algebra/alg-13-biggame-animation.mp4
alg_14_biggame_booleans,,,ksxOA3V9npA,http://videos.letron.vip/2015/algebra/alg-14-biggame-booleans.mp4
alg_15_biggame_update_player,,,Ll_uL6Lj2QI,http://videos.letron.vip/2015/algebra/alg-15-biggame-update-player.mp4
alg_16_biggame_collision_detection,,,DLoJmKZg9gM,http://videos.letron.vip/2015/algebra/alg-16-biggame-collision-detection.mp4
